,微博id,评论页码,评论id,评论时间,评论者赞数,评论者IP归属地,评论者姓名,评论者id,评论者性别,评论者关注数,评论者粉丝数,评论内容,comment_processed,cluster
16,4950000000000000.0,1,4950000000000000.0,2023/9/16 14:26,203,来自河北,何珊瑶,1633843891,女,20000,16.9万,占座本就不合理，还要三人殴打一名女子👩，太过分了，应该依法处理打人者。,占座本就不合理还要三人殴打一名女子👩太过分了应该依法处理打人者,4
17,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:37,224,来自重庆,鸽子爱吃担担面,6331774468,男,934,1286,建议死刑，明显有保护伞,建议死刑明显有保护伞,5
18,4950000000000000.0,1,4950000000000000.0,2023/9/16 13:25,197,来自山东,你以为的并不是,6457366702,男,281,48,不会又定性为互殴吧,不会又定性为互殴吧,4
19,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:45,116,来自北京,杨京墨L,5710879088,女,283,74,这不比高铁化妆严重？@穆青糖豆,这不比高铁化妆严重@穆青糖豆,1
20,4950000000000000.0,2,4950000000000000.0,2023/9/16 14:36,116,来自天津,强仕之年,1732589352,女,204,410,感觉李女士好无助，一个人维权好难，基本的公序良俗也需要一对三的独自争取吗？我宁可选择自驾了。,感觉李女士好无助一个人维权好难基本的公序良俗也需要一对三的独自争取吗我宁可选择自驾了,3
21,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:46,82,来自陕西,圣诞girl,1616020474,女,842,105,还能打10分钟，工作人员呢,还能打10分钟工作人员呢,2
22,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:34,95,来自重庆,权哥我是你贤嫂啊,1796201457,女,207,243,能不能取消无座票，都是一样的价格，建议把无座取消,能不能取消无座票都是一样的价格建议把无座取消,0
23,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:32,113,来自广东,幸福并快乐着GGH,2436755223,男,87,171,又是霸占座位，这类人应限制乘坐高铁火车。,又是霸占座位这类人应限制乘坐高铁火车,2
24,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:48,73,来自浙江,幽幽紫藤i,5476628129,男,3941,297,占位打人的高铁拉黑，永不能坐高铁，还要追究法律责任。,占位打人的高铁拉黑永不能坐高铁还要追究法律责任,0
25,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:36,81,来自湖北,Tammy-6918,6470068071,女,1262,19,@央视新闻 @央视网 @人民日报 @人民网 @新华社 //@我还叫波猪的海:这。。。高铁上的工作人员哪去了，十分钟。。。这不比高铁上化妆严重？,@央视新闻 @央视网 @人民日报 @人民网 @新华社 //@我还叫波猪的海:这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,3
26,4950000000000000.0,2,4950000000000000.0,2023/9/16 14:09,78,来自江西,是韭菜不是砧板,5237050487,女,68,166,区区打人，哪有在高铁化妆严重,区区打人哪有在高铁化妆严重,5
27,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:52,76,来自福建,千万要早睡a,7374857272,女,78,7,嗯嗯高铁化妆不文明，但打人是被允许的,嗯嗯高铁化妆不文明但打人是被允许的,2
28,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:52,51,来自浙江,太阳太强烈会把五谷晒干,1683698097,男,1600,1523,铁路部门一次又一次的不作为 让这帮人愈发肆无忌惮,铁路部门一次又一次的不作为 让这帮人愈发肆无忌惮,3
29,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:35,57,来自广东,真的不能被发现,5877307084,男,535,45,十分钟？乘警是死的？,十分钟乘警是死的,3
30,4950000000000000.0,2,4950000000000000.0,2023/9/16 14:28,49,来自浙江,鲤鱼红鲤鱼,2562350714,男,1401,705,不接受调解，给我去坐牢,不接受调解给我去坐牢,0
31,4950000000000000.0,2,4950000000000000.0,2023/9/16 14:20,22,来自广东,深深H柯柯,6319864328,女,617,2291,十分钟乘务员才到场吗,十分钟乘务员才到场吗,1
32,4950000000000000.0,2,4950000000000000.0,2023/9/16 14:05,20,来自北京,叽里咕噜磨磨唧唧,1906103677,男,1428,1797,乘警呢？,乘警呢,0
33,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:38,24,来自上海,现代医学专治各种不服,7078758630,女,450,69,拳夫又大展身手了,拳夫又大展身手了,1
34,4950000000000000.0,2,4950000000000000.0,2023/9/16 13:56,9,来自广东,请求和你初春可见,2112050030,男,189,763,打人者人恒打之啊人,打人者人恒打之啊人,3
35,4950000000000000.0,2,4990000000000000.0,2024/1/12 21:43,0,,微博位置,2196734667,男,0,0,点击天津·天津西站，查看更多此地微博！,点击天津·天津西站查看更多此地微博,0
36,4950000000000000.0,2,4950000000000000.0,2023/9/16 15:45,0,,微博视频,5186027114,男,977,1549万,您好，恭喜您的视频荣登视频飙升榜，社会领域第16名，榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳》网页链接,您好恭喜您的视频荣登视频飙升榜社会领域第16名榜单小时级更新请尽快查看哦~快来查看分享你的上榜视频吧~榜单戳网页链接,0
37,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:50,20,来自云南,Sawako__,1897799660,女,561,2881,那天有位小姐姐想和我换座位 但是我晕高铁特意买的靠窗就没换 和她解释了一下她说没关系 后面还怕我晕 分我溜溜梅吃爱一些情绪稳定有礼貌的人 像新闻里这种就该被抓起来,那天有位小姐姐想和我换座位 但是我晕高铁特意买的靠窗就没换 和她解释了一下她说没关系 后面还怕我晕 分我溜溜梅吃爱一些情绪稳定有礼貌的人 像新闻里这种就该被抓起来,0
38,4950000000000000.0,3,4950000000000000.0,2023/9/16 13:35,20,来自江西,小不忍Zzzz,5592012449,男,999,2705,乘警又不在,乘警又不在,5
39,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:00,15,来自上海,卡哇伊姨姨,5614975710,女,81,57,卧槽，女生一个人出门太可怕了，被抢票还被打,卧槽女生一个人出门太可怕了被抢票还被打,2
40,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:35,8,来自上海,Celia洁summer,6586749650,女,862,86,一个人坐车还是要注意安全,一个人坐车还是要注意安全,4
41,4950000000000000.0,3,4950000000000000.0,2023/9/16 13:56,18,来自天津,NONOsMIBAO,1636288245,女,618,808,乘警呢？,乘警呢,0
42,4950000000000000.0,3,4950000000000000.0,2023/9/16 15:20,12,来自四川,公子长安y,1006302922,女,213,119,化妆乘警立马到位，打架乘警姗姗来迟,化妆乘警立马到位打架乘警姗姗来迟,3
43,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:37,10,来自重庆,21Sgdhdd,6290333820,女,2402,28,打了十分钟乘务员都没出面,打了十分钟乘务员都没出面,5
44,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:34,9,来自云南,纯白花语2017,5372646099,女,2351,322,河北就不奇怪了，如果是唐山的话,河北就不奇怪了如果是唐山的话,4
45,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:18,7,来自广东,仲夏的心跳回忆,6178629223,男,77,2,这时候反击回去的话，算是互殴还是自卫？,这时候反击回去的话算是互殴还是自卫,2
46,4950000000000000.0,3,4950000000000000.0,2023/9/16 11:14,11,来自美国,·一枚鱼饼·,7672927511,女,47,1026,好可怕……,好可怕……,0
47,4950000000000000.0,3,4950000000000000.0,2023/9/16 15:48,2,来自浙江,西晚晚,6645261186,女,2218,1933,还有理了？,还有理了,3
48,4950000000000000.0,3,4950000000000000.0,2023/9/16 13:29,12,来自上海,Sirius_老Ben啃番茄,1729095997,女,2489,24.2万,可真阳刚,可真阳刚,4
49,4950000000000000.0,3,4950000000000000.0,2023/9/16 11:29,17,来自北京,李李李子黄了,6013969275,男,138,10,故意伤害,故意伤害,4
50,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:53,5,来自云南,唧唧歪歪的崽崽,1765441002,女,587,86,乘警和高铁上的服务员呢！！围观群众干嘛呢！！,乘警和高铁上的服务员呢围观群众干嘛呢,0
51,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:43,7,来自湖南,湖南陈树,1939690330,男,3088,5586,很多地方都是如此：平时鸡毛蒜皮的事，有人管，外国人没座位，有管理人员出面协调让座，这真正发生纠纷打人了，管理人员在哪里？,很多地方都是如此平时鸡毛蒜皮的事有人管外国人没座位有管理人员出面协调让座这真正发生纠纷打人了管理人员在哪里,0
52,4950000000000000.0,3,4950000000000000.0,2023/9/16 13:57,10,来自辽宁,小菜星星,2532782317,男,524,226,石家庄那边以前黑社会很多，我不是地域黑，我讲的都是真的,石家庄那边以前黑社会很多我不是地域黑我讲的都是真的,0
53,4950000000000000.0,3,4950000000000000.0,2023/9/16 15:45,6,来自山东,chanrycsl,1644434232,女,270,136,乘务员乘警去哪儿了，这种人没人收拾了吗？老百姓的生活还能正常吗？,乘务员乘警去哪儿了这种人没人收拾了吗老百姓的生活还能正常吗,3
54,4950000000000000.0,3,4950000000000000.0,2023/9/16 15:35,4,来自河南,临清君,2360683677,女,77,108,结果是故意伤害还是寻意滋事呢？,结果是故意伤害还是寻意滋事呢,5
55,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:23,5,来自北京,牛大胖娃儿,1593879417,女,646,1481,看着好生气！违法成本太低！这次是教育还是教育呢？,看着好生气违法成本太低这次是教育还是教育呢,0
56,4950000000000000.0,3,4950000000000000.0,2023/9/16 14:05,7,来自上海,者耳仲,6308790756,男,1754,528,乘警是和乘务员在一起写小说吗？这么久[笑而不語],乘警是和乘务员在一起写小说吗这么久[笑而不語],2
57,4950000000000000.0,4,4950000000000000.0,2023/9/18 11:02,4,来自四川,木-三羊,1971851865,女,507,1735,不能直接说“一家三口占座不成暴打女乘客”？新闻媒体现在不懂什么叫言简意赅了？,不能直接说一家三口占座不成暴打女乘客新闻媒体现在不懂什么叫言简意赅了,3
58,4950000000000000.0,4,4950000000000000.0,2023/9/16 15:31,9,来自湖南,江心钥,1224546365,女,379,243,高铁上为什么总是发生占座纠纷？铁路局真的对此无责任吗？,高铁上为什么总是发生占座纠纷铁路局真的对此无责任吗,4
59,4950000000000000.0,4,4950000000000000.0,2023/9/16 14:23,4,来自陕西,甜甜的兔牙牙牙,1866657107,女,400,399,十分钟 乘警呢？,十分钟 乘警呢,0
60,4950000000000000.0,4,4950000000000000.0,2023/9/17 2:32,1,来自安徽,延寿丁丁,6061280153,男,337,2857,三个壮汉对一个弱女子如此呆毒,三个壮汉对一个弱女子如此呆毒,4
61,4950000000000000.0,4,4950000000000000.0,2023/9/16 13:43,4,来自山东,百渡蓝天白云间,7283210899,男,212,5,寻衅滋事罪，故意伤害罪入刑,寻衅滋事罪故意伤害罪入刑,2
62,4950000000000000.0,4,4950000000000000.0,2023/9/18 9:53,2,来自北京,月下说法,1496864631,女,603,132.8万,管理不善，处置不当，才屡屡次出现霸座还有理的事件。,管理不善处置不当才屡屡次出现霸座还有理的事件,5
63,4950000000000000.0,4,4950000000000000.0,2023/9/17 8:45,14,来自江苏,金陵玫子,5237032971,女,612,447,真的是太嚣张了，占别人座位还动手，希望出台相关政策法规，给老百姓的基本安全得以保障！,真的是太嚣张了占别人座位还动手希望出台相关政策法规给老百姓的基本安全得以保障,4
64,4950000000000000.0,4,4950000000000000.0,2023/9/16 22:53,3,来自广东,西村南巷_,1882808601,男,83,85,这种人赶紧拉黑名单啊，别到处祸害别人，太危险了,这种人赶紧拉黑名单啊别到处祸害别人太危险了,0
65,4950000000000000.0,4,4950000000000000.0,2023/9/16 22:42,2,来自四川,叭咚叭咚,5092402022,女,2333,1808,为什么不能有高铁黑名单！！飞机黑名单！！！,为什么不能有高铁黑名单飞机黑名单,2
66,4950000000000000.0,4,4950000000000000.0,2023/9/16 21:16,3,来自北京,咸卤螃蟹vs高级人,1692965975,男,316,348,警察别和稀泥就好。别搞什么各打五十大板这类的事。犯错了，不讲理就应该受到惩罚。,警察别和稀泥就好别搞什么各打五十大板这类的事犯错了不讲理就应该受到惩罚,1
67,4950000000000000.0,4,4950000000000000.0,2023/9/16 16:55,2,来自四川,2hlsing,1788576952,女,164,155,我震惊😱不要和解必须给那几个人弄个案底,我震惊😱不要和解必须给那几个人弄个案底,0
68,4950000000000000.0,4,4950000000000000.0,2023/9/19 16:52,0,来自北京,佛系老娘们,5915465003,女,278,125,是那一家三口先动的手，还扒人家衣服，这像话吗，这都没人管，就因为老人是国家公职人员，连乘务员，警察都不敢管，就知道欺负老百姓,是那一家三口先动的手还扒人家衣服这像话吗这都没人管就因为老人是国家公职人员连乘务员警察都不敢管就知道欺负老百姓,4
69,4950000000000000.0,4,4950000000000000.0,2023/9/17 9:37,0,来自江苏,张走灵,2079318697,女,681,151,@中国铁路 你怎么说,@中国铁路 你怎么说,5
70,4950000000000000.0,4,4950000000000000.0,2023/9/17 1:20,0,来自河北,何珊瑶,1633843891,女,20000,16.9万,回复@彤彤不哭Y 的表态:谢谢@彤彤不哭Y 的点赞支持。,回复@彤彤不哭Y 的表态:谢谢@彤彤不哭Y 的点赞支持,0
71,4950000000000000.0,4,4950000000000000.0,2023/9/16 17:05,3,来自安徽,渊之龙女,2519935117,女,575,2230,乘务员和乘警呢？,乘务员和乘警呢,4
72,4950000000000000.0,4,4950000000000000.0,2023/9/16 15:59,0,来自北京,童淇读书,5059877369,女,939,20.6万,这种工作人员才不管//@我还叫波猪的海:这。。。高铁上的工作人员哪去了，十分钟。。。这不比高铁上化妆严重？,这种工作人员才不管//@我还叫波猪的海:这高铁上的工作人员哪去了十分钟这不比高铁上化妆严重,1
73,4950000000000000.0,4,4950000000000000.0,2023/9/16 15:14,1,来自湖北,介个小茵,2320241564,男,427,383,看着就是一副没文化的恶人样，对这种粗人就不要跟他们硬杠，一开始就召唤乘务员警察介入，让他们自生自灭，总有得到惩治的时候,看着就是一副没文化的恶人样对这种粗人就不要跟他们硬杠一开始就召唤乘务员警察介入让他们自生自灭总有得到惩治的时候,4
74,4950000000000000.0,4,4950000000000000.0,2023/9/16 14:38,0,来自北京,体育迷巴霞,1111382753,女,1933,798,抓,抓,0
75,4950000000000000.0,4,4950000000000000.0,2023/9/16 14:36,0,来自广东,价值为王,2606342974,女,876,1万,欺软怕硬,欺软怕硬,4
76,4950000000000000.0,5,4950000000000000.0,2023/9/16 14:32,0,来自宁夏,拂晓哨位,7512010816,男,7363,1.5万,对打人者严处理严励打击,对打人者严处理严励打击,1
77,4950000000000000.0,5,4950000000000000.0,2023/9/16 14:25,0,来自澳大利亚,孙老师在上学,1460105510,男,5120,347,呵呵,呵呵,1
78,4950000000000000.0,5,4950000000000000.0,2023/9/16 14:10,5,来自广东,RainSnow7206,6988516132,女,501,2,为啥坐高铁总能发生奇葩和不可思议事件呢,为啥坐高铁总能发生奇葩和不可思议事件呢,3
79,4950000000000000.0,5,4950000000000000.0,2023/9/17 14:15,2,来自广东,小灯草被拔秃啦,1516021224,女,516,512,散粉到别人身上可比拳头到别人身上严重多了呢,散粉到别人身上可比拳头到别人身上严重多了呢,5
80,4950000000000000.0,5,4950000000000000.0,2023/9/16 18:54,2,来自浙江,数沙社,6572839093,男,107,4,为啥高铁上这么多奇葩事！,为啥高铁上这么多奇葩事,0
81,4950000000000000.0,5,4950000000000000.0,2023/9/16 17:01,2,来自浙江,传说中万能的圈大,5790056918,男,336,152,查查这女的退休了吗？退休前两口子在哪里工作，财产等问题有什么不对称的，是不是家里有楼那种,查查这女的退休了吗退休前两口子在哪里工作财产等问题有什么不对称的是不是家里有楼那种,1
82,4950000000000000.0,5,4950000000000000.0,2023/9/16 16:28,3,来自广西,评论区活人,7466880654,男,213,19,别调解谢谢,别调解谢谢,0
83,4950000000000000.0,5,4950000000000000.0,2023/9/16 14:49,3,来自广东,古兒郎瓦,1712414114,男,529,517,就知道始作俑者是女性，她家里人几代都要被连累了,就知道始作俑者是女性她家里人几代都要被连累了,4
84,4950000000000000.0,5,4950000000000000.0,2023/9/18 18:54,1,来自广东,十月天气爽,2783894703,男,410,654,估计热度一过，又不了了之，建议李女士找人把那3个流氓打一顿，反正也没人管，最多定性为互殴,估计热度一过又不了了之建议李女士找人把那3个流氓打一顿反正也没人管最多定性为互殴,2
85,4950000000000000.0,5,4950000000000000.0,2023/9/17 22:51,1,来自宁夏,H阳阳阳阳阳阳H,7135005199,女,442,61,乘务员呢，在找化妆的美女嘛高铁厌女这么严重吗？打了十分钟都没来人是吧,乘务员呢在找化妆的美女嘛高铁厌女这么严重吗打了十分钟都没来人是吧,4
86,4950000000000000.0,5,4950000000000000.0,2023/9/17 10:39,1,来自山西,Kevin刘旭冬,1770977052,男,1459,991,网暴下这对夫妻吧,网暴下这对夫妻吧,5
87,4950000000000000.0,5,4950000000000000.0,2023/9/16 17:14,4,来自浙江,tyrdvh18,6598858684,男,1914,153,上次我坐高铁人家占我位置半小时多我都没敢吭气，只能旁边站着，就怕挨揍，跟乘务员说了也白说,上次我坐高铁人家占我位置半小时多我都没敢吭气只能旁边站着就怕挨揍跟乘务员说了也白说,4
88,4950000000000000.0,5,4950000000000000.0,2023/9/16 16:16,1,来自浙江,爱旅游的Yanzi,1293016343,女,204,472,这些人应该这一生禁止乘坐任何一种交通工具,这些人应该这一生禁止乘坐任何一种交通工具,2
89,4950000000000000.0,5,4950000000000000.0,2023/9/16 15:51,1,来自浙江,晚风拂面J,2392282384,女,530,397,关起来 ,关起来,1
90,4950000000000000.0,5,4950000000000000.0,2023/9/16 15:14,1,来自广东,知行有果,2152506474,男,5041,93,真的搞不懂那些喜欢换坐的人，一趟旅程也就短短的几个小时，非得要坐在一起吗?难道是生离死别？！ 建议以后@中国铁路要出个政策，禁止换座，不过@它也没球用，因为它不会管的。,真的搞不懂那些喜欢换坐的人一趟旅程也就短短的几个小时非得要坐在一起吗?难道是生离死别 建议以后@中国铁路要出个政策禁止换座不过@它也没球用因为它不会管的,0
91,4950000000000000.0,5,4950000000000000.0,2023/9/16 15:11,1,来自浙江,老吕飞刀,1703040405,男,2950,2351,类似的新闻看多了，铁路方面是到了下猛药的时候，帮助“某些人”长长记性，可以关他几天，拉进黑名单……相信只要想治他们，总有办法的吧。要不然，这好好的乘车环境，谁来保障？,类似的新闻看多了铁路方面是到了下猛药的时候帮助某些人长长记性可以关他几天拉进黑名单……相信只要想治他们总有办法的吧要不然这好好的乘车环境谁来保障,0
92,4950000000000000.0,5,4950000000000000.0,2023/9/16 15:05,2,来自江苏,胡越萧萧,5778727765,女,341,225,乘J：不是化妆就好,乘J不是化妆就好,3
93,4950000000000000.0,5,4950000000000000.0,2023/9/16 14:55,1,来自江苏,芥末圈圈jm,2096821081,女,520,17,无法无天……,无法无天……,2
94,4950000000000000.0,5,4950000000000000.0,2023/9/16 14:43,1,来自河北,憩园啦啦,5520151261,女,707,209,啥人都有，太可怕了,啥人都有太可怕了,4
95,4950000000000000.0,5,4950000000000000.0,2023/9/16 14:35,2,来自江苏,暖心mio,5518090944,女,1647,205,高铁上还会发生这种事？！真是长见识了太可怕了我也不是没遇到过买的座位被占这种事，很多次都是鼓起勇气要回来的以后我宁愿站着都不敢要回座位了,高铁上还会发生这种事真是长见识了太可怕了我也不是没遇到过买的座位被占这种事很多次都是鼓起勇气要回来的以后我宁愿站着都不敢要回座位了,2
96,4950000000000000.0,6,4950000000000000.0,2023/9/16 14:09,1,来自天津,我家的two宝贝,1886377275,女,789,495,这种人真是辣鸡啊怎么有这么多不守规矩规定规则的人呢，还得理直气壮，强词夺理。,这种人真是辣鸡啊怎么有这么多不守规矩规定规则的人呢还得理直气壮强词夺理,0
97,4950000000000000.0,6,4950000000000000.0,2023/9/16 13:30,2,来自江苏,呼啦啦虎啦,6861898003,女,434,54,这么难舍难分吗？座位非要坐一起？,这么难舍难分吗座位非要坐一起,4
98,4950000000000000.0,6,4950000000000000.0,2023/9/21 22:14,0,来自河北,jlifei,2732881001,男,56,53,你们发的新闻从来就不进行认证吗？别人发你们蹭热点就上，管他真相如何？？？,你们发的新闻从来就不进行认证吗别人发你们蹭热点就上管他真相如何,0
99,4950000000000000.0,6,4950000000000000.0,2023/9/21 22:04,0,来自河北,jlifei,2732881001,男,56,53,翻回来看，视频里面的配音和内容描述，到底是不是那个女生说和描述的，还是这个某个营销号自己配的内容？以后是有图有视频都不一定有真相了。,翻回来看视频里面的配音和内容描述到底是不是那个女生说和描述的还是这个某个营销号自己配的内容以后是有图有视频都不一定有真相了,0
100,4950000000000000.0,6,4950000000000000.0,2023/9/17 20:03,0,来自河南,中原发展姬威锋,6330152278,男,367,885,应该加大处罚力度,应该加大处罚力度,1
101,4950000000000000.0,6,4950000000000000.0,2023/9/17 15:09,0,,FM955大医生来了,6451746664,女,339,6513,建议高铁对“霸座人”设立黑名单，3或5年期不得乘坐,建议高铁对霸座人设立黑名单3或5年期不得乘坐,0
102,4950000000000000.0,6,4950000000000000.0,2023/9/17 14:27,0,来自安徽,龙宝豆豆,2567590911,男,444,151,派出所是怎么处理的？,派出所是怎么处理的,1
103,4950000000000000.0,6,4950000000000000.0,2023/9/17 11:57,0,来自广东,大野孤行_天,5553394766,男,1116,352,都什么人哪,都什么人哪,1
104,4950000000000000.0,6,4950000000000000.0,2023/9/17 9:10,0,来自江苏,二狗同学ya,6357247362,男,528,587,恶人还得恶人磨,恶人还得恶人磨,2
105,4950000000000000.0,6,4950000000000000.0,2023/9/17 5:44,0,来自新疆,卡斯米路路路路,1086285041,男,208,462,估计会被和解简史。不出台严厉政策这种事只会越来越多。,估计会被和解简史不出台严厉政策这种事只会越来越多,2
106,4950000000000000.0,6,4950000000000000.0,2023/9/16 23:03,0,来自四川,三道拐球王,3198633154,男,548,161,高铁遇到不讲理的占座 真的很无奈,高铁遇到不讲理的占座 真的很无奈,3
107,4950000000000000.0,6,4950000000000000.0,2023/9/16 22:22,0,来自浙江,冬日里的照明灯,1723765197,男,620,1084,财神爷来了,财神爷来了,1
108,4950000000000000.0,6,4950000000000000.0,2023/9/16 20:43,0,来自云南,Jilluu,5635745147,女,1337,11,严惩！！,严惩,0
109,4950000000000000.0,6,4950000000000000.0,2023/9/16 20:35,0,来自江苏,不需要保护,6425904797,女,5080,24,高铁座位坐的那叫一个乱七八糟,高铁座位坐的那叫一个乱七八糟,0
110,4950000000000000.0,6,4950000000000000.0,2023/9/16 20:28,0,来自河南,周小毒2012,2597823702,女,998,370,别被执法部门劝的的和解,别被执法部门劝的的和解,3
111,4950000000000000.0,6,4950000000000000.0,2023/9/16 17:57,2,来自北京,lee的way,2287611875,男,175,71,为什么要给打人者打码。。。,为什么要给打人者打码,3
112,4950000000000000.0,6,4950000000000000.0,2023/9/16 17:56,0,来自浙江,锐柠,1745711934,女,256,2306,人家忙着管化妆呢,人家忙着管化妆呢,0
113,4950000000000000.0,6,4950000000000000.0,2023/9/16 17:04,0,来自江苏,章鱼小丸子1116,5307701143,男,1876,181,一家子坏蛋牛氓,一家子坏蛋牛氓,5
114,4950000000000000.0,6,4950000000000000.0,2023/9/16 16:30,0,来自天津,唐卡ZYW,3307270495,女,249,49,黑名单黑名单！,黑名单黑名单,2
115,4950000000000000.0,6,4950000000000000.0,2023/9/16 16:17,0,来自江苏,云商8080,6112829975,男,85,9,10分钟的时间乘警都没来阻止暴力行为吗,10分钟的时间乘警都没来阻止暴力行为吗,4
116,4950000000000000.0,7,4950000000000000.0,2023/9/16 16:09,1,来自吉林,爱向彤919,6012559892,女,35,89,车上的服务员和乘警都躲哪里去了？,车上的服务员和乘警都躲哪里去了,1
117,4950000000000000.0,7,4950000000000000.0,2023/9/16 16:03,0,来自四川,你不紧张,5250093000,女,447,93,躺下提车,躺下提车,2
118,4950000000000000.0,7,4950000000000000.0,2023/9/16 15:43,0,来自山东,大学时叫我老六,5360268680,女,214,76,真的是高铁工作人员呢,真的是高铁工作人员呢,2
119,4950000000000000.0,7,4950000000000000.0,2023/9/16 15:31,0,来自江苏,会跳舞de茉莉,6869253286,女,667,69,这种占座还打人的人品真是差,这种占座还打人的人品真是差,4
120,4950000000000000.0,7,4950000000000000.0,2023/9/16 15:13,0,来自江苏,Jayhch,5038018767,女,2412,122,转发微博,转发微博,4
